year,activity,employment,output
2015,RES_agmin_ag,73640,7440362308
2015,RES_forst_log,7678,1000840163
2015,RES_offc_off,47526,0
2015,RET_auto_ret,68984,5894236331
2015,RET_nstor_off,33460,3200208816
2015,RET_stor_off,43532,0
2015,RET_stor_ret,175424,12968278483
2015,SERV_bus_off,140848,17248915675
2015,SERV_home_xxx,23103,250669553
2015,SERV_nonp_off_inst,93610,5028392894
2015,SERV_site_li,67432,4751714031
2015,SERV_stor_ret,71398,2886010859
2015,SERV_tech_off,206051,27588687479
2015,TRNS_trns_off,34764,0
2015,TRNS_trns_ware,51085,12683439501
2015,UTL_othr_off,12999,0
2015,UTL_othr_off_li,15672,7440287316
2015,WHSL_offc_off,21881,0
2015,WHSL_whsl_ware,68088,16338858770
2016,CNST_main_xxx,23022,4956291129
2016,CNST_nres_xxx,24065,4423919570
2016,CNST_offc_off,53724,0
2016,CNST_othr_xxx,28852,5452956890
2016,CNST_res_xxx,28019,7689614182
2016,ENGY_elec_hi,3719,9532715414
2016,ENGY_ngas_hi,539,804785264
2016,ENGY_offc_off,19132,0
2016,ENGY_ptrl_hi,7096,3972161470
2016,ENT_ent_ret,69575,3910264596
2016,FIRE_fnin_off,110357,22799272105
2016,FIRE_real_off,120224,22824050810
2016,GOV_admn_gov,62426,13534723660
2016,GOV_offc_off,99600,0
2016,HIED_hied_off_inst,53657,2540502453
2016,HLTH_care_inst,61606,3355149100
2016,HLTH_hosp_hosp,69177,10227460571
2016,HLTH_othr_off_li,128621,14307085087
2016,HOSP_acc_acc,23632,2069334851
2016,HOSP_eat_ret_acc,210060,11497946853
2016,INFO_info_off,39799,0
2016,INFO_info_off_li,8130,14676917587
2016,K12_k12_k12,121572,11479394649
2016,K12_k12_off,40609,0
2016,MFG_food_hi,15643,10394443450
2016,MFG_food_li,15774,10394443450
2016,MFG_htec_hi,2984,16693589271
2016,MFG_htec_li,2738,16693589271
2016,MFG_hvtw_hi,19475,12436153847
2016,MFG_hvtw_li,19642,12436153847
2016,MFG_lvtw_hi,12109,11646481322
2016,MFG_offc_off,129405,0
2016,MFG_wdppr_hi,21446,10321130435
2016,RES_agmin_ag,72765,9169315027
2016,RES_forst_log,7586,1045888781
2016,RES_offc_off,46962,0
2016,RET_auto_ret,71046,6123270545
2016,RET_nstor_off,33974,3317238347
2016,RET_stor_off,44201,0
2016,RET_stor_ret,178118,13455261540
2016,SERV_bus_off,146436,18102406413
2016,SERV_home_xxx,24231,266412648
2016,SERV_nonp_off_inst,97715,5287835134
2016,SERV_site_li,70199,4955111532
2016,SERV_stor_ret,74551,3023555189
2016,SERV_tech_off,214225,28680072151
2016,TRNS_trns_off,35690,0
2016,TRNS_trns_ware,52446,12904472264
2016,UTL_othr_off,13512,0
2016,UTL_othr_off_li,16291,7815200847
2016,WHSL_offc_off,22329,0
2016,WHSL_whsl_ware,69481,16877228682
2017,CNST_main_xxx,24846,5078705284
2017,CNST_nres_xxx,25970,4476332803
2017,CNST_offc_off,57978,0
2017,CNST_othr_xxx,31137,5517561840
2017,CNST_res_xxx,30238,8173914293
2017,ENGY_elec_hi,3774,9930597755
2017,ENGY_ngas_hi,558,850921257
2017,ENGY_offc_off,19432,0
2017,ENGY_ptrl_hi,7201,4091604811
2017,ENT_ent_ret,71711,3984720589
2017,FIRE_fnin_off,113264,23436056288
2017,FIRE_real_off,123390,23377970171
2017,GOV_admn_gov,62793,13848931046
2017,GOV_offc_off,100185,0
2017,HIED_hied_off_inst,54173,2571331419
2017,HLTH_care_inst,63400,3473987504
2017,HLTH_hosp_hosp,71190,10589714246
2017,HLTH_othr_off_li,132365,14813837874
2017,HOSP_acc_acc,24358,2128422650
2017,HOSP_eat_ret_acc,216511,11826259297
2017,INFO_info_off,40424,0
2017,INFO_info_off_li,8258,15443576601
2017,K12_k12_k12,122172,11564392621
2017,K12_k12_off,40810,0
